ProductID,Exchange,PriceTick,VolumeMultiply,CommissionRateInVolumeForOpen,CommissionRateInMoneyForOpen,CommissionRateInVolumeForClose,CommissionRateInMoneyForClose,CommissionRateInVolumeForCloseToday,CommissionRateInMoneyForCloseToday
i2307,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2306,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2305,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2304,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2303,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2302,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i2301,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
i,DCE,0.5,100,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2312,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2311,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2310,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2309,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2308,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2307,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2306,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2305,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2304,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2303,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2302,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb2301,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
fb,DCE,0.5,10,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05,0.0321782178218,6.44564356436e-05
eg2311,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2310,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2309,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2308,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2307,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2306,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
eg2305,DCE,1.0,10,0.875742574257,1e-07,0.875742574257,1e-07,0.875742574257,1e-07
