SysOrderId,InstrumentId,UserId,FrontId,Timestamp,LocalTime,InsertLocalTime,Buy,OrderPrice,OrderVol,FirstTradeLocalTime,LastTradeLocalTime,TradeVol,AverageTradePrice,Tick2Trade,Tick2Recv,Order2Ack,Order2FrontAck
10114594#36440,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.613151314','20221201 11:23:27.613159829',0,240.389000,30,'','',0,0.000000,8515,550,3542429,-1
10114595#36441,123057.SZ,Oes000000000,-1,'11:23:30.520','20221201 11:23:27.613381408','20221201 11:23:27.613390250',0,240.389000,30,'','',0,0.000000,8842,698,3312186,-1
10114596#36442,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.613939243','20221201 11:23:27.613948716',0,240.389000,30,'','',0,0.000000,9473,590,3423912,-1
10114597#36443,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.613951828','20221201 11:23:27.613961758',0,240.389000,30,'','',0,0.000000,9930,624,3491870,-1
10114598#36444,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.614028221','20221201 11:23:27.614037554',0,240.389000,30,'','',0,0.000000,9333,629,3567419,-1
10114599#36445,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.615073729','20221201 11:23:27.615083730',0,240.389000,30,'','',0,0.000000,10001,498,3361238,-1
10114600#36446,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.615167304','20221201 11:23:27.615175750',0,240.389000,30,'','',0,0.000000,8446,590,3426680,-1
10114601#36447,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.615188560','20221201 11:23:27.615197721',0,240.389000,30,'','',0,0.000000,9161,678,3587234,-1
10114602#36448,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.615200843','20221201 11:23:27.615209262',0,240.389000,30,'','',0,0.000000,8419,548,3619977,-1
10114603#36449,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.615213429','20221201 11:23:27.615222932',0,240.389000,30,'','',0,0.000000,9503,573,3679483,-1
10114605#36450,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.615247024','20221201 11:23:27.615256341',0,240.389000,30,'','',0,0.000000,9317,541,3752348,-1
10114611#36451,123057.SZ,Oes000000000,-1,'11:23:30.530','20221201 11:23:27.617099770','20221201 11:23:27.617111491',0,240.377000,90,'20221201 11:23:27.620393763','20221201 11:23:27.727219670',90,240.377000,11721,508,3254658,-1
